team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend,lat,lon
Cardiff City FC,2018/2019,10,24,4,34,69,-35,34,18,37829528.84615385,51422000,,51.472778,-3.203056
Sheffield United FC,2019/2020,14,12,12,39,39,0,54,10,27463061.904761903,47655000,,53.370278,-1.470833
Sheffield United FC,2020/2021,7,29,2,20,63,-43,23,20,22599327.358490564,62897000,47655000.0,53.370278,-1.470833
Sheffield United FC,2023/2024,3,28,7,35,104,-69,16,20,26801641.732283466,64481000,,53.370278,-1.470833
Leeds United,2020/2021,18,15,5,62,54,8,59,9,27211174.528301887,128005000,,53.777778,-1.572222
Leeds United,2021/2022,9,18,11,42,79,-37,38,17,26050427.522935778,59423000,128005000.0,53.777778,-1.572222
Leeds United,2022/2023,7,21,10,48,78,-30,31,19,48227662.18487395,164282000,59423000.0,53.777778,-1.572222
Brentford FC,2021/2022,13,18,7,48,56,-8,46,13,23118247.706422016,38479000,,51.490715,-0.289048
Brentford FC,2022/2023,15,9,14,58,46,12,59,9,31389887.394957986,49569000,38479000.0,51.490715,-0.289048
Brentford FC,2023/2024,10,19,9,56,65,-9,39,16,37221809.4488189,65125000,49569000.0,51.490715,-0.289048
Nottingham Forest FC,2022/2023,9,18,11,38,68,-30,38,16,52189492.43697479,198641000,,52.94,-1.132778
Nottingham Forest FC,2023/2024,9,20,9,49,67,-18,36,17,67153229.13385826,119051000,198641000.0,52.94,-1.132778
Luton Town FC,2023/2024,6,24,8,52,85,-33,26,18,22900137.007874016,23006000,,51.884167,-0.431667
